stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
middle,bn1,BatchNorm2d,batchnorm,input,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,FP8_E4M3,Marginal,0.025420227636810424,1.0,0.0,0.0016,
middle,bn1,BatchNorm2d,batchnorm,input,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,FP8_E5M2,Marginal,0.04463712110687696,0.15361116377395467,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,input,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,INT16,Sufficient,0.0007838868406560359,1.0,,,0.00019524098679577496
middle,bn1,BatchNorm2d,batchnorm,input,41943040,-6.404200553894043,6.3768134117126465,4.609305648273221e-08,2.3283064365386963e-10,0.0,INT8,Marginal,0.09154302210569742,1.0,,,0.050373711923914634
middle,bn1,BatchNorm2d,batchnorm,activation,41943040,-7.749634265899658,8.506637573242188,2.2716166725444964e-08,4.0745362639427185e-10,0.0,FP16,Sufficient,0.00017684943246505278,0.0013346851426923228,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,activation,41943040,-7.749634265899658,8.506637573242188,2.2716166725444964e-08,4.0745362639427185e-10,0.0,FP8_E4M3,Marginal,0.025119333686926357,1.0,0.0,0.0013,
middle,bn1,BatchNorm2d,batchnorm,activation,41943040,-7.749634265899658,8.506637573242188,2.2716166725444964e-08,4.0745362639427185e-10,0.0,FP8_E5M2,Marginal,0.04498872238400174,0.23455592633691388,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,activation,41943040,-7.749634265899658,8.506637573242188,2.2716166725444964e-08,4.0745362639427185e-10,0.0,INT16,Sufficient,0.0005865600104555628,1.0,,,0.00016643290342612142
middle,bn1,BatchNorm2d,batchnorm,activation,41943040,-7.749634265899658,8.506637573242188,2.2716166725444964e-08,4.0745362639427185e-10,0.0,INT8,Marginal,0.07526968757231657,1.0,,,0.0429409995792419
middle,bn1,BatchNorm2d,batchnorm,weight_gradient,320,-0.03228165954351425,0.04620674252510071,5.44093745702412e-06,1.2663804227486253e-07,0.0,FP16,Sufficient,0.00019934290746948967,0.0031087992826927904,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,weight_gradient,320,-0.03228165954351425,0.04620674252510071,5.44093745702412e-06,1.2663804227486253e-07,0.0,FP8_E4M3,Not sufficient,0.29833905489089496,1.0,0.0,0.153125,
middle,bn1,BatchNorm2d,batchnorm,weight_gradient,320,-0.03228165954351425,0.04620674252510071,5.44093745702412e-06,1.2663804227486253e-07,0.0,FP8_E5M2,Marginal,0.04890749256327326,1.0,0.0,0.003125,
middle,bn1,BatchNorm2d,batchnorm,weight_gradient,320,-0.03228165954351425,0.04620674252510071,5.44093745702412e-06,1.2663804227486253e-07,0.0,INT16,Sufficient,0.000470557031719155,0.036704369969748074,,,1.4101609096072483e-06
middle,bn1,BatchNorm2d,batchnorm,weight_gradient,320,-0.03228165954351425,0.04620674252510071,5.44093745702412e-06,1.2663804227486253e-07,0.0,INT8,Marginal,0.08729290893038323,1.0,,,0.0003638326183078796
middle,bn1,BatchNorm2d,batchnorm,weight_update,320,-0.003762543201446533,0.002100348472595215,1.1920928955078125e-07,5.960464477539063e-08,0.0,FP16,Sufficient,0.00011472727373533281,0.0004880429477794046,0.0,0.0,
middle,bn1,BatchNorm2d,batchnorm,weight_update,320,-0.003762543201446533,0.002100348472595215,1.1920928955078125e-07,5.960464477539063e-08,0.0,FP8_E4M3,Not sufficient,0.9658489666807594,1.0,0.0,0.940625,
middle,bn1,BatchNorm2d,batchnorm,weight_update,320,-0.003762543201446533,0.002100348472595215,1.1920928955078125e-07,5.960464477539063e-08,0.0,FP8_E5M2,Not sufficient,0.07320865373274887,1.0,0.0,0.01875,
middle,bn1,BatchNorm2d,batchnorm,weight_update,320,-0.003762543201446533,0.002100348472595215,1.1920928955078125e-07,5.960464477539063e-08,0.0,INT16,Sufficient,0.0005738872223191493,0.03675954466383861,,,1.1482721034719484e-07
middle,bn1,BatchNorm2d,batchnorm,weight_update,320,-0.003762543201446533,0.002100348472595215,1.1920928955078125e-07,5.960464477539063e-08,0.0,INT8,Marginal,0.09029412146831065,1.0,,,2.9626324420838843e-05
middle,layer1.0.conv1,Conv2d,conv,weight,36864,-0.13154108822345734,0.16697607934474945,1.9414103462622734e-06,6.984919309616089e-10,0.0,FP16,Sufficient,0.00017705726317679852,0.0032980553272986654,0.0,0.0,
middle,layer1.0.conv1,Conv2d,conv,weight,36864,-0.13154108822345734,0.16697607934474945,1.9414103462622734e-06,6.984919309616089e-10,0.0,FP8_E4M3,Not sufficient,0.0718824438374427,1.0,0.0,0.02335,
middle,layer1.0.conv1,Conv2d,conv,weight,36864,-0.13154108822345734,0.16697607934474945,1.9414103462622734e-06,6.984919309616089e-10,0.0,FP8_E5M2,Marginal,0.04519561552599654,1.0,0.0,5e-05,
middle,layer1.0.conv1,Conv2d,conv,weight,36864,-0.13154108822345734,0.16697607934474945,1.9414103462622734e-06,6.984919309616089e-10,0.0,INT16,Sufficient,0.00025530574723042976,0.1410040619187794,,,5.095861059747595e-06
middle,layer1.0.conv1,Conv2d,conv,weight,36864,-0.13154108822345734,0.16697607934474945,1.9414103462622734e-06,6.984919309616089e-10,0.0,INT8,Marginal,0.04946790461006257,1.0,,,0.0013147722783051138
middle,layer1.0.conv1,Conv2d,conv,input,41943040,0.0,8.506637573242188,4.9228312093418936e-08,4.656612873077393e-10,0.4890033006668091,FP16,Sufficient,9.01586890011272e-05,0.0013346851426923228,0.0,0.0,
middle,layer1.0.conv1,Conv2d,conv,input,41943040,0.0,8.506637573242188,4.9228312093418936e-08,4.656612873077393e-10,0.4890033006668091,FP8_E4M3,Sufficient,0.012845220357672923,1.0,0.0,0.0013717421124828531,
middle,layer1.0.conv1,Conv2d,conv,input,41943040,0.0,8.506637573242188,4.9228312093418936e-08,4.656612873077393e-10,0.4890033006668091,FP8_E5M2,Marginal,0.022921284134894603,0.23455592633691388,0.0,0.0,
middle,layer1.0.conv1,Conv2d,conv,input,41943040,0.0,8.506637573242188,4.9228312093418936e-08,4.656612873077393e-10,0.4890033006668091,INT16,Sufficient,0.00032480367228399684,1.0,,,0.0001419466961495014
middle,layer1.0.conv1,Conv2d,conv,input,41943040,0.0,8.506637573242188,4.9228312093418936e-08,4.656612873077393e-10,0.4890033006668091,INT8,Marginal,0.03364218578877266,1.0,,,0.03662336529709223
