stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
begin,conv1,Conv2d,conv,weight_gradient,8640,-0.16131603717803955,0.144508495926857,3.861670847982168e-06,9.313225746154785e-10,0.0,FP8_E4M3,Not sufficient,0.15899174577378408,1.0,0.0,0.07233796296296297,
begin,conv1,Conv2d,conv,weight_gradient,8640,-0.16131603717803955,0.144508495926857,3.861670847982168e-06,9.313225746154785e-10,0.0,FP8_E5M2,Marginal,0.04588076009714089,1.0,0.0,0.00034722222222222224,
begin,conv1,Conv2d,conv,weight_gradient,8640,-0.16131603717803955,0.144508495926857,3.861670847982168e-06,9.313225746154785e-10,0.0,INT16,Sufficient,0.0007471741262464408,0.2748691442256884,,,4.923125009248315e-06
begin,conv1,Conv2d,conv,weight_gradient,8640,-0.16131603717803955,0.144508495926857,3.861670847982168e-06,9.313225746154785e-10,0.0,INT8,Not sufficient,0.11199383615781305,1.0,,,0.0012702050171499177
begin,conv1,Conv2d,conv,weight_update,8640,-0.007719635963439941,0.009437814354896545,1.9371509552001953e-07,4.656612873077393e-10,0.0,FP16,Sufficient,0.00023256823492595084,0.07692307692307693,0.0,0.0,
begin,conv1,Conv2d,conv,weight_update,8640,-0.007719635963439941,0.009437814354896545,1.9371509552001953e-07,4.656612873077393e-10,0.0,FP8_E4M3,Not sufficient,0.7353565094170234,1.0,0.0,0.6002314814814815,
begin,conv1,Conv2d,conv,weight_update,8640,-0.007719635963439941,0.009437814354896545,1.9371509552001953e-07,4.656612873077393e-10,0.0,FP8_E5M2,Marginal,0.05560326695162083,1.0,0.0,0.00636574074074074,
begin,conv1,Conv2d,conv,weight_update,8640,-0.007719635963439941,0.009437814354896545,1.9371509552001953e-07,4.656612873077393e-10,0.0,INT16,Sufficient,0.0004995597505435489,0.4868641292482353,,,2.8802802682261257e-07
begin,conv1,Conv2d,conv,weight_update,8640,-0.007719635963439941,0.009437814354896545,1.9371509552001953e-07,4.656612873077393e-10,0.0,INT8,Marginal,0.08088715420299274,1.0,,,7.431349885745311e-05
begin,bn1,BatchNorm2d,batchnorm,weight,64,1.0,1.0,1.0,,0.0,FP16,Sufficient,0.0,0.0,0.0,0.0,
begin,bn1,BatchNorm2d,batchnorm,weight,64,1.0,1.0,1.0,,0.0,FP8_E4M3,Sufficient,0.0,0.0,0.0,0.0,
begin,bn1,BatchNorm2d,batchnorm,weight,64,1.0,1.0,1.0,,0.0,FP8_E5M2,Sufficient,0.0,0.0,0.0,0.0,
begin,bn1,BatchNorm2d,batchnorm,weight,64,1.0,1.0,1.0,,0.0,INT16,Sufficient,0.0,0.0,,,3.051850947599719e-05
begin,bn1,BatchNorm2d,batchnorm,weight,64,1.0,1.0,1.0,,0.0,INT8,Sufficient,0.0,0.0,,,0.007874015748031496
begin,bn1,BatchNorm2d,batchnorm,bias,64,0.0,0.0,,,1.0,FP16,Sufficient,0.0,0.0,0.0,0.0,
begin,bn1,BatchNorm2d,batchnorm,bias,64,0.0,0.0,,,1.0,FP8_E4M3,Sufficient,0.0,0.0,0.0,0.0,
begin,bn1,BatchNorm2d,batchnorm,bias,64,0.0,0.0,,,1.0,FP8_E5M2,Sufficient,0.0,0.0,0.0,0.0,
begin,bn1,BatchNorm2d,batchnorm,bias,64,0.0,0.0,,,1.0,INT16,Sufficient,0.0,0.0,,,1.0
begin,bn1,BatchNorm2d,batchnorm,bias,64,0.0,0.0,,,1.0,INT8,Sufficient,0.0,0.0,,,1.0
begin,bn1,BatchNorm2d,batchnorm,input,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,FP16,Sufficient,0.00017695053919288957,0.00048459597241881885,0.0,0.0,
begin,bn1,BatchNorm2d,batchnorm,input,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,FP8_E4M3,Marginal,0.025553351394086703,1.0,0.0,0.0015,
begin,bn1,BatchNorm2d,batchnorm,input,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,FP8_E5M2,Marginal,0.04506258973633065,0.11107823756587881,0.0,0.0,
begin,bn1,BatchNorm2d,batchnorm,input,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,INT16,Sufficient,0.00040197568400865966,0.49139074593735704,,,9.685057172275541e-05
begin,bn1,BatchNorm2d,batchnorm,input,41943040,-3.7178733348846436,3.8417816162109375,9.95184024077389e-09,4.656612873077393e-10,0.0,INT8,Marginal,0.06236775667997,1.0,,,0.024988210107397844
begin,bn1,BatchNorm2d,batchnorm,activation,41943040,-7.547884464263916,7.382938861846924,2.2503984453692283e-08,4.656612873077393e-10,0.0,FP16,Sufficient,0.00017519419876786,0.0004837597656621986,0.0,0.0,
begin,bn1,BatchNorm2d,batchnorm,activation,41943040,-7.547884464263916,7.382938861846924,2.2503984453692283e-08,4.656612873077393e-10,0.0,FP8_E4M3,Marginal,0.02412596775975203,1.0,0.0,0.00075,
