stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
end,conv1,Conv2d,conv,activation,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,FP8_E4M3,Marginal,0.02675208691480493,1.0,0.0,0.0021,
end,conv1,Conv2d,conv,activation,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,FP8_E5M2,Marginal,0.04489573267781833,1.0,0.0,0.0001,
end,conv1,Conv2d,conv,activation,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,INT16,Sufficient,0.0010802181727880605,1.0,,,0.0001875947406324195
end,conv1,Conv2d,conv,activation,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,INT8,Not sufficient,0.12031940520965206,1.0,,,0.04840092020710622
end,conv1,Conv2d,conv,weight_gradient,8640,-0.06943349540233612,0.08086073398590088,3.0358569347299635e-07,1.3096723705530167e-10,0.0,FP16,Sufficient,0.0001858761177673806,0.02512122634131081,0.0,0.0,
end,conv1,Conv2d,conv,weight_gradient,8640,-0.06943349540233612,0.08086073398590088,3.0358569347299635e-07,1.3096723705530167e-10,0.0,FP8_E4M3,Not sufficient,0.2352290753612323,1.0,0.0,0.1259259259259259,
end,conv1,Conv2d,conv,weight_gradient,8640,-0.06943349540233612,0.08086073398590088,3.0358569347299635e-07,1.3096723705530167e-10,0.0,FP8_E5M2,Marginal,0.046107039964725836,1.0,0.0,0.0006944444444444445,
end,conv1,Conv2d,conv,weight_gradient,8640,-0.06943349540233612,0.08086073398590088,3.0358569347299635e-07,1.3096723705530167e-10,0.0,INT16,Sufficient,0.00085914286678273,1.0,,,2.4677490763848044e-06
end,conv1,Conv2d,conv,weight_gradient,8640,-0.06943349540233612,0.08086073398590088,3.0358569347299635e-07,1.3096723705530167e-10,0.0,INT8,Not sufficient,0.10148325799575486,1.0,,,0.0006366986928023692
end,conv1,Conv2d,conv,weight_update,8640,-0.00022605061531066895,0.00023249536752700806,7.450580596923828e-09,1.1641532182693481e-10,0.00011574074074074075,FP16,Sufficient,0.003822670826124327,1.0,0.0,0.0013890496585252923,
end,conv1,Conv2d,conv,weight_update,8640,-0.00022605061531066895,0.00023249536752700806,7.450580596923828e-09,1.1641532182693481e-10,0.00011574074074074075,FP8_E4M3,Not sufficient,0.9998842592592593,1.0,0.0,1.0,
end,conv1,Conv2d,conv,weight_update,8640,-0.00022605061531066895,0.00023249536752700806,7.450580596923828e-09,1.1641532182693481e-10,0.00011574074074074075,FP8_E5M2,Not sufficient,0.3299289868028971,1.0,0.0,0.19539298529922444,
end,conv1,Conv2d,conv,weight_update,8640,-0.00022605061531066895,0.00023249536752700806,7.450580596923828e-09,1.1641532182693481e-10,0.00011574074074074075,INT16,Sufficient,0.000402239456549256,0.0883772436554199,,,7.0954120769984455e-09
end,conv1,Conv2d,conv,weight_update,8640,-0.00022605061531066895,0.00023249536752700806,7.450580596923828e-09,1.1641532182693481e-10,0.00011574074074074075,INT8,Marginal,0.06432615886840988,1.0,,,1.830672185252032e-06
end,bn1,BatchNorm2d,batchnorm,weight,64,0.43794679641723633,0.8218967318534851,0.43794679641723633,7.748603820800781e-07,0.0,FP16,Sufficient,0.00017307076759288064,0.0004328763565979175,0.0,0.0,
