stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
inference,features.0.1,BatchNorm2d,batchnorm,activation,327680000,-4.500263690948486,5.571164131164551,1.156497564380743e-09,2.3283064365386963e-10,0.0,INT16,Sufficient,0.00038400139872079675,1.0,,,0.000147685797413075
inference,features.0.1,BatchNorm2d,batchnorm,activation,327680000,-4.500263690948486,5.571164131164551,1.156497564380743e-09,2.3283064365386963e-10,0.0,INT8,Marginal,0.05722605140987712,1.0,,,0.03810409861286794
inference,features.1.conv.0.0,Conv2d,conv,weight,288,-0.766129195690155,1.0577137470245361,0.00038536309148184955,2.3642554879188538e-05,0.0,FP16,Sufficient,0.0001773290011862013,0.000469091546315245,0.0,0.0,
inference,features.1.conv.0.0,Conv2d,conv,weight,288,-0.766129195690155,1.0577137470245361,0.00038536309148184955,2.3642554879188538e-05,0.0,FP8_E4M3,Marginal,0.03116658963774568,1.0,0.0,0.006944444444444444,
inference,features.1.conv.0.0,Conv2d,conv,weight,288,-0.766129195690155,1.0577137470245361,0.00038536309148184955,2.3642554879188538e-05,0.0,FP8_E5M2,Marginal,0.04476054107183876,0.1106763056091818,0.0,0.0,
inference,features.1.conv.0.0,Conv2d,conv,weight,288,-0.766129195690155,1.0577137470245361,0.00038536309148184955,2.3642554879188538e-05,0.0,INT16,Sufficient,0.00021502661438118614,0.020889773604123543,,,3.22798470114608e-05
inference,features.1.conv.0.0,Conv2d,conv,weight,288,-0.766129195690155,1.0577137470245361,0.00038536309148184955,2.3642554879188538e-05,0.0,INT8,Marginal,0.03783981437826814,1.0,,,0.008328454700980599
inference,features.1.conv.0.0,Conv2d,conv,input,327680000,0.0,5.571164131164551,1.156497564380743e-09,4.0745362639427185e-10,0.45415830078125,FP16,Sufficient,9.550694389696074e-05,0.00047872110076825473,0.0,0.0,
inference,features.1.conv.0.0,Conv2d,conv,input,327680000,0.0,5.571164131164551,1.156497564380743e-09,4.0745362639427185e-10,0.45415830078125,FP8_E4M3,Sufficient,0.013633781256563912,1.0,0.0,0.00119233238558195,
inference,features.1.conv.0.0,Conv2d,conv,input,327680000,0.0,5.571164131164551,1.156497564380743e-09,4.0745362639427185e-10,0.45415830078125,FP8_E5M2,Marginal,0.024551440243672486,0.11650202960246198,0.0,0.0,
inference,features.1.conv.0.0,Conv2d,conv,input,327680000,0.0,5.571164131164551,1.156497564380743e-09,4.0745362639427185e-10,0.45415830078125,INT16,Sufficient,0.00024356416609073444,1.0,,,0.000147685797413075
inference,features.1.conv.0.0,Conv2d,conv,input,327680000,0.0,5.571164131164551,1.156497564380743e-09,4.0745362639427185e-10,0.45415830078125,INT8,Marginal,0.03042768138196851,1.0,,,0.03810409861286794
inference,features.1.conv.0.0,Conv2d,conv,activation,327680000,-6.5605902671813965,14.057796478271484,4.503600964378407e-11,2.9103830456733704e-11,0.3263699859619141,FP16,Sufficient,0.00012096272522793832,0.03515560841290691,0.0,0.0,
inference,features.1.conv.0.0,Conv2d,conv,activation,327680000,-6.5605902671813965,14.057796478271484,4.503600964378407e-11,2.9103830456733704e-11,0.3263699859619141,FP8_E4M3,Not sufficient,0.02719021613296999,1.0,0.0,0.011282660332541567,
inference,features.1.conv.0.0,Conv2d,conv,activation,327680000,-6.5605902671813965,14.057796478271484,4.503600964378407e-11,2.9103830456733704e-11,0.3263699859619141,FP8_E5M2,Marginal,0.030552778994680063,1.0,0.0,0.00022268408551068885,
inference,features.1.conv.0.0,Conv2d,conv,activation,327680000,-6.5605902671813965,14.057796478271484,4.503600964378407e-11,2.9103830456733704e-11,0.3263699859619141,INT16,Sufficient,0.003420460125098304,1.0,,,0.0002324967438618679
inference,features.1.conv.0.0,Conv2d,conv,activation,327680000,-6.5605902671813965,14.057796478271484,4.503600964378407e-11,2.9103830456733704e-11,0.3263699859619141,INT8,Not sufficient,0.13363024363364703,1.0,,,0.059985990599384455
inference,features.1.conv.0.1,BatchNorm2d,batchnorm,weight,32,0.38212305307388306,1.6279349327087402,0.38212305307388306,0.00012451410293579102,0.0,FP16,Sufficient,0.00015979811922054398,0.0004113653605145068,0.0,0.0,
inference,features.1.conv.0.1,BatchNorm2d,batchnorm,weight,32,0.38212305307388306,1.6279349327087402,0.38212305307388306,0.00012451410293579102,0.0,FP8_E4M3,Sufficient,0.018379482174708205,0.05160230059088537,0.0,0.0,
inference,features.1.conv.0.1,BatchNorm2d,batchnorm,weight,32,0.38212305307388306,1.6279349327087402,0.38212305307388306,0.00012451410293579102,0.0,FP8_E5M2,Marginal,0.046444201236968435,0.10676307244714336,0.0,0.0,
inference,features.1.conv.0.1,BatchNorm2d,batchnorm,weight,32,0.38212305307388306,1.6279349327087402,0.38212305307388306,0.00012451410293579102,0.0,INT16,Sufficient,1.891095890036368e-05,4.6203290793168975e-05,,,4.968214767017854e-05
inference,features.1.conv.0.1,BatchNorm2d,batchnorm,weight,32,0.38212305307388306,1.6279349327087402,0.38212305307388306,0.00012451410293579102,0.0,INT8,Sufficient,0.003775771428588564,0.010998270749837436,,,0.012818385296919215
inference,features.1.conv.0.1,BatchNorm2d,batchnorm,bias,32,-0.31327250599861145,0.9863197207450867,0.0002973994705826044,0.0007405579090118408,0.0,FP16,Sufficient,0.0001609064724455046,0.0004148434884195961,0.0,0.0,
inference,features.1.conv.0.1,BatchNorm2d,batchnorm,bias,32,-0.31327250599861145,0.9863197207450867,0.0002973994705826044,0.0007405579090118408,0.0,FP8_E4M3,Not sufficient,0.05206641571883215,1.0,0.0,0.03125,
inference,features.1.conv.0.1,BatchNorm2d,batchnorm,bias,32,-0.31327250599861145,0.9863197207450867,0.0002973994705826044,0.0007405579090118408,0.0,FP8_E5M2,Marginal,0.039059837368327126,0.09778309279006919,0.0,0.0,
inference,features.1.conv.0.1,BatchNorm2d,batchnorm,bias,32,-0.31327250599861145,0.9863197207450867,0.0002973994705826044,0.0007405579090118408,0.0,INT16,Sufficient,0.0004684253602751748,0.012140596113169807,,,3.0101007743921832e-05
